Name,Description,Unit,DataType,Attributes
ClickHouseProfileEvents_SelectedMarks,Number of marks (index granules) selected to read from a MergeTree table.,,Sum,
ClickHouseMetrics_PartsPreActive,"The part is in data_parts, but not used for SELECTs.",,Gauge,
ClickHouseAsyncMetrics_NetworkSendDrop_ip6tnl0,,,Gauge,
ClickHouseAsyncMetrics_BlockWriteMerges_ram9,,,Gauge,
ClickHouseMetrics_TablesToDropQueueSize,"Number of dropped tables, that are waiting for background data removal.",,Gauge,
ClickHouseAsyncMetrics_BlockDiscardMerges_nbd10,,,Gauge,
ClickHouseAsyncMetrics_BlockWriteOps_ram2,,,Gauge,
ClickHouseProfileEvents_S3WriteRequestsCount,"Number of POST, DELETE, PUT and PATCH requests to S3 storage.",,Sum,
ClickHouseAsyncMetrics_NetworkSendErrors_eth0,,,Gauge,
ClickHouseAsyncMetrics_OSMemorySwapCached,,,Gauge,
ClickHouseProfileEvents_S3ReadBytes,Read bytes (incoming) in GET and HEAD requests to S3 storage.,,Sum,
ClickHouseAsyncMetrics_BlockActiveTime_ram2,,,Gauge,
ClickHouseAsyncMetrics_BlockWriteTime_nbd2,,,Gauge,
ClickHouseAsyncMetrics_OSIdleTimeCPU1,,,Gauge,
ClickHouseProfileEvents_PerfRefCpuCycles,Total cycles; not affected by CPU frequency scaling.,,Sum,
ClickHouseAsyncMetrics_jemalloc_mapped,,,Gauge,
ClickHouseAsyncMetrics_BlockDiscardMerges_ram6,,,Gauge,
ClickHouseAsyncMetrics_BlockWriteTime_ram3,,,Gauge,
ClickHouseAsyncMetrics_BlockReadTime_nbd5,,,Gauge,
ClickHouseAsyncMetrics_ReplicasSumInsertsInQueue,,,Gauge,
ClickHouseAsyncMetrics_OSIOWaitTimeCPU4,,,Gauge,
ClickHouseAsyncMetrics_OSIrqTimeNormalized,,,Gauge,
ClickHouseProfileEvents_ReplicatedPartMutations,,,Sum,
ClickHouseAsyncMetrics_BlockActiveTime_ram5,,,Gauge,
ClickHouseAsyncMetrics_BlockReadMerges_ram8,,,Gauge,
ClickHouseAsyncMetrics_NetworkReceivePackets_tunl0,,,Gauge,
ClickHouseProfileEvents_InsertQuery,"Same as Query, but only for INSERT queries.",,Sum,
ClickHouseProfileEvents_CompileExpressionsBytes,Number of bytes used for expressions compilation.,,Sum,
ClickHouseAsyncMetrics_FilesystemMainPathTotalINodes,,,Gauge,
ClickHouseAsyncMetrics_FilesystemMainPathAvailableBytes,,,Gauge,
ClickHouseAsyncMetrics_BlockReadTime_ram7,,,Gauge,
ClickHouseAsyncMetrics_BlockReadTime_nbd8,,,Gauge,
ClickHouseProfileEvents_CreatedReadBufferOrdinary,,,Sum,
ClickHouseAsyncMetrics_BlockDiscardOps_nbd11,,,Gauge,
ClickHouseAsyncMetrics_BlockReadTime_nbd14,,,Gauge,
ClickHouseAsyncMetrics_BlockDiscardTime_ram11,,,Gauge,
ClickHouseProfileEvents_ZooKeeperRemove,,,Sum,
ClickHouseProfileEvents_ZooKeeperExists,,,Sum,
ClickHouseMetrics_RWLockWaitingReaders,Number of threads waiting for read on a table RWLock.,,Gauge,
ClickHouseAsyncMetrics_BlockDiscardMerges_nbd15,,,Gauge,
ClickHouseAsyncMetrics_BlockDiscardTime_nbd1,,,Gauge,
ClickHouseProfileEvents_ZooKeeperCheck,,,Sum,
ClickHouseAsyncMetrics_OSIdleTimeNormalized,,,Gauge,
ClickHouseAsyncMetrics_BlockReadTime_nbd2,,,Gauge,
ClickHouseAsyncMetrics_MemoryCode,,,Gauge,
ClickHouseProfileEvents_DictCacheRequests,,,Sum,
ClickHouseProfileEvents_OSCPUVirtualTimeMicroseconds,CPU time spent seen by OS. Does not include involuntary waits due to virtualization.,,Sum,
ClickHouseProfileEvents_PerfContextSwitches,Number of context switches,,Sum,
ClickHouseAsyncMetrics_BlockActiveTime_ram6,,,Gauge,
ClickHouseProfileEvents_InsertedRows,Number of rows INSERTed to all tables.,,Sum,
ClickHouseAsyncMetrics_BlockInFlightOps_nbd9,,,Gauge,
ClickHouseAsyncMetrics_BlockQueueTime_ram8,,,Gauge,
ClickHouseAsyncMetrics_BlockWriteBytes_ram9,,,Gauge,
ClickHouseAsyncMetrics_BlockWriteTime_ram10,,,Gauge,
ClickHouseMetrics_ReadonlyReplica,Number of Replicated tables that are currently in readonly state due to re-initialization after ZooKeeper session loss or due to startup without ZooKeeper configured.,,Gauge,
ClickHouseAsyncMetrics_BlockReadMerges_ram9,,,Gauge,
ClickHouseAsyncMetrics_BlockWriteOps_ram9,,,Gauge,
ClickHouseMetrics_BackgroundMovePoolTask,Number of active tasks in BackgroundProcessingPool for moves,,Gauge,
ClickHouseAsyncMetrics_BlockWriteMerges_ram14,,,Gauge,
